"Year","Subregion","subregion.code","Species","date","present"
1984,"Greater North Sea","ANS","Ruditapes philippinarum (Adams & Reeve, 1850)",1984-01-01,12
1985,"Greater North Sea","ANS","Ruditapes philippinarum (Adams & Reeve, 1850)",1985-01-01,13
1986,"Greater North Sea","ANS","Ruditapes philippinarum (Adams & Reeve, 1850)",1986-01-01,14
1987,"Greater North Sea","ANS","Ruditapes philippinarum (Adams & Reeve, 1850)",1987-01-01,15
1988,"Greater North Sea","ANS","Ruditapes philippinarum (Adams & Reeve, 1850)",1988-01-01,16
1989,"Greater North Sea","ANS","Ruditapes philippinarum (Adams & Reeve, 1850)",1989-01-01,17
1990,"Greater North Sea","ANS","Ruditapes philippinarum (Adams & Reeve, 1850)",1990-01-01,18
1973,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1973-01-01,NA
1974,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1974-01-01,NA
1975,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1975-01-01,NA
1976,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1976-01-01,NA
1977,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1977-01-01,NA
1978,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1978-01-01,NA
1979,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1979-01-01,NA
1980,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1980-01-01,NA
1981,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1981-01-01,NA
1982,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1982-01-01,NA
1983,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1983-01-01,1
1984,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1984-01-01,2
1985,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1985-01-01,3
1986,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1986-01-01,4
1987,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1987-01-01,5
1988,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1988-01-01,6
1989,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1989-01-01,7
1990,"Adriatic Sea","MAD","Ruditapes philippinarum (Adams & Reeve, 1850)",1990-01-01,8
1973,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1973-01-01,NA
1974,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1974-01-01,NA
1975,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1975-01-01,NA
1976,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1976-01-01,NA
1977,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1977-01-01,NA
1978,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1978-01-01,NA
1979,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1979-01-01,NA
1980,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1980-01-01,NA
1981,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1981-01-01,NA
1982,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1982-01-01,NA
1983,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1983-01-01,NA
1984,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1984-01-01,NA
1985,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1985-01-01,NA
1986,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1986-01-01,NA
1987,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1987-01-01,NA
1988,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1988-01-01,NA
1989,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1989-01-01,NA
1990,"Central Mediterranean Sea","MIC","Ruditapes philippinarum (Adams & Reeve, 1850)",1990-01-01,1
1973,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1973-01-01,NA
1974,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1974-01-01,NA
1975,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1975-01-01,NA
1976,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1976-01-01,NA
1977,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1977-01-01,NA
1978,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1978-01-01,NA
1979,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1979-01-01,NA
1980,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1980-01-01,1
1981,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1981-01-01,2
1982,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1982-01-01,3
1983,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1983-01-01,4
1984,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1984-01-01,5
1985,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1985-01-01,6
1986,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1986-01-01,7
1987,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1987-01-01,8
1988,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1988-01-01,9
1989,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1989-01-01,10
1990,"Western Mediterranean Sea","MWE","Ruditapes philippinarum (Adams & Reeve, 1850)",1990-01-01,11
1977,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1977-01-01,NA
1978,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1978-01-01,NA
1979,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1979-01-01,NA
1980,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1980-01-01,NA
1981,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1981-01-01,NA
1982,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1982-01-01,NA
1983,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1983-01-01,NA
1984,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1984-01-01,NA
1985,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1985-01-01,NA
1986,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1986-01-01,NA
1987,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1987-01-01,NA
1988,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1988-01-01,NA
1989,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1989-01-01,NA
1990,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1990-01-01,NA
1991,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1991-01-01,NA
1992,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1992-01-01,NA
1993,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1993-01-01,NA
1994,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1994-01-01,NA
1995,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1995-01-01,NA
1996,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1996-01-01,NA
1997,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1997-01-01,NA
1998,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1998-01-01,NA
1999,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",1999-01-01,NA
2000,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2000-01-01,NA
2001,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2001-01-01,NA
2002,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2002-01-01,NA
2003,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2003-01-01,NA
2004,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2004-01-01,NA
2005,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2005-01-01,NA
2006,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2006-01-01,NA
2007,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2007-01-01,NA
2008,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2008-01-01,NA
2009,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2009-01-01,NA
2010,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2010-01-01,NA
2011,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2011-01-01,NA
2012,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2012-01-01,NA
2013,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2013-01-01,NA
2014,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2014-01-01,NA
2015,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2015-01-01,NA
2016,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2016-01-01,NA
2017,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2017-01-01,1
2018,"Bay of Biscay & Iberian Coast","ABI","Sphaeroma walkeri Stebbing, 1905",2018-01-01,2
1977,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1977-01-01,NA
1978,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1978-01-01,NA
1979,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1979-01-01,NA
1980,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1980-01-01,NA
1981,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1981-01-01,NA
1982,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1982-01-01,NA
1983,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1983-01-01,NA
1984,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1984-01-01,NA
1985,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1985-01-01,NA
1986,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1986-01-01,NA
1987,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1987-01-01,NA
1988,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1988-01-01,NA
1989,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1989-01-01,NA
1990,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1990-01-01,NA
1991,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1991-01-01,NA
1992,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1992-01-01,NA
1993,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1993-01-01,NA
1994,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1994-01-01,NA
1995,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1995-01-01,NA
1996,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1996-01-01,NA
1997,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1997-01-01,NA
1998,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1998-01-01,NA
1999,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",1999-01-01,NA
2000,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2000-01-01,NA
2001,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2001-01-01,NA
2002,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2002-01-01,NA
2003,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2003-01-01,NA
2004,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2004-01-01,NA
2005,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2005-01-01,NA
2006,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2006-01-01,NA
2007,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2007-01-01,NA
2008,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2008-01-01,NA
2009,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2009-01-01,NA
2010,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2010-01-01,NA
2011,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2011-01-01,NA
2012,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2012-01-01,NA
2013,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2013-01-01,NA
2014,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2014-01-01,NA
2015,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2015-01-01,1
2016,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2016-01-01,2
2017,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2017-01-01,3
2018,"Macaronesia","AMA","Sphaeroma walkeri Stebbing, 1905",2018-01-01,4
1977,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1977-01-01,NA
1978,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1978-01-01,NA
1979,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1979-01-01,NA
1980,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1980-01-01,NA
1981,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1981-01-01,NA
1982,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1982-01-01,NA
1983,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1983-01-01,NA
1984,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1984-01-01,NA
1985,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1985-01-01,NA
1986,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1986-01-01,NA
1987,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1987-01-01,NA
1988,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1988-01-01,NA
1989,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1989-01-01,NA
1990,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1990-01-01,NA
1991,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1991-01-01,NA
1992,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1992-01-01,NA
1993,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1993-01-01,NA
1994,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1994-01-01,NA
1995,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1995-01-01,NA
1996,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1996-01-01,NA
1997,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1997-01-01,NA
1998,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1998-01-01,NA
1999,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",1999-01-01,NA
2000,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2000-01-01,NA
2001,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2001-01-01,NA
2002,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2002-01-01,NA
2003,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2003-01-01,NA
2004,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2004-01-01,1
2005,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2005-01-01,2
2006,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2006-01-01,3
2007,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2007-01-01,4
2008,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2008-01-01,5
2009,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2009-01-01,6
2010,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2010-01-01,7
2011,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2011-01-01,8
2012,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2012-01-01,9
2013,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2013-01-01,10
2014,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2014-01-01,11
2015,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2015-01-01,12
2016,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2016-01-01,13
2017,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2017-01-01,14
2018,"Black Sea","BLK","Sphaeroma walkeri Stebbing, 1905",2018-01-01,15
1977,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1977-01-01,NA
1978,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1978-01-01,NA
1979,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1979-01-01,NA
1980,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1980-01-01,NA
1981,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1981-01-01,NA
1982,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1982-01-01,NA
1983,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1983-01-01,NA
1984,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1984-01-01,NA
1985,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1985-01-01,NA
1986,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1986-01-01,NA
1987,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1987-01-01,NA
1988,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1988-01-01,NA
1989,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1989-01-01,NA
1990,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1990-01-01,NA
1991,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1991-01-01,NA
1992,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1992-01-01,NA
1993,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1993-01-01,NA
1994,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1994-01-01,NA
1995,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1995-01-01,NA
1996,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1996-01-01,NA
1997,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1997-01-01,NA
1998,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1998-01-01,NA
1999,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",1999-01-01,NA
2000,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2000-01-01,NA
2001,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2001-01-01,NA
2002,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2002-01-01,NA
2003,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2003-01-01,NA
2004,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2004-01-01,NA
2005,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2005-01-01,NA
2006,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2006-01-01,NA
2007,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2007-01-01,NA
2008,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2008-01-01,NA
2009,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2009-01-01,NA
2010,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2010-01-01,NA
2011,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2011-01-01,NA
2012,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2012-01-01,NA
2013,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2013-01-01,NA
2014,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2014-01-01,NA
2015,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2015-01-01,NA
2016,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2016-01-01,NA
2017,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2017-01-01,1
2018,"Eastern Mediterranean Sea","MAL","Sphaeroma walkeri Stebbing, 1905",2018-01-01,2
1977,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1977-01-01,NA
1978,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1978-01-01,NA
1979,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1979-01-01,NA
1980,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1980-01-01,NA
1981,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1981-01-01,NA
1982,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1982-01-01,NA
1983,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1983-01-01,NA
1984,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1984-01-01,NA
1985,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1985-01-01,NA
1986,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1986-01-01,NA
1987,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1987-01-01,NA
1988,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1988-01-01,NA
1989,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1989-01-01,NA
1990,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1990-01-01,NA
1991,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1991-01-01,NA
1992,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1992-01-01,NA
1993,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1993-01-01,NA
1994,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1994-01-01,NA
1995,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1995-01-01,NA
1996,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1996-01-01,NA
1997,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1997-01-01,NA
1998,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1998-01-01,NA
1999,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",1999-01-01,NA
2000,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2000-01-01,NA
2001,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2001-01-01,NA
2002,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2002-01-01,NA
2003,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2003-01-01,NA
2004,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2004-01-01,NA
2005,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2005-01-01,NA
2006,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2006-01-01,NA
2007,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2007-01-01,NA
2008,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2008-01-01,NA
2009,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2009-01-01,NA
2010,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2010-01-01,NA
2011,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2011-01-01,NA
2012,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2012-01-01,NA
2013,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2013-01-01,NA
2014,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2014-01-01,NA
2015,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2015-01-01,NA
2016,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2016-01-01,NA
2017,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2017-01-01,NA
2018,"Central Mediterranean Sea","MIC","Sphaeroma walkeri Stebbing, 1905",2018-01-01,1
1977,"Western Mediterranean Sea","MWE","Sphaeroma walkeri Stebbing, 1905",1977-01-01,1
1978,"Western Mediterranean Sea","MWE","Sphaeroma walkeri Stebbing, 1905",1978-01-01,2
1979,"Western Mediterranean Sea","MWE","Sphaeroma walkeri Stebbing, 1905",1979-01-01,3
